txn_id,card_id,fps_id,village_id,district,block,month,commodity,unit_price,quantity,amount,mth_number,year,auth_mode,offline_flag,delivery_delay_days
TX101,RC101,1,1,Tirunelveli,Alangulam,Jan,rice,3,11,33,1,2025,biometric,0,0
TX102,RC101,1,1,Tirunelveli,Alangulam,Jan,wheat,2,7,14,1,2025,biometric,0,0
TX103,RC101,1,1,Tirunelveli,Alangulam,Jan,sugar,18,1,18,1,2025,biometric,0,0
TX104,RC101,1,1,Tirunelveli,Alangulam,Feb,rice,3,11,33,2,2025,aadhaar,1,1
TX105,RC101,1,1,Tirunelveli,Alangulam,Feb,wheat,2,6,12,2,2025,aadhaar,1,0
TX106,RC101,1,1,Tirunelveli,Alangulam,Feb,sugar,18,1,18,2,2025,aadhaar,1,2
TX107,RC101,1,1,Tirunelveli,Alangulam,Mar,rice,3,10,30,3,2025,aadhaar,0,0
TX108,RC101,1,1,Tirunelveli,Alangulam,Mar,wheat,2,3,6,3,2025,aadhaar,0,0
TX109,RC101,1,1,Tirunelveli,Alangulam,Apr,rice,3,8,24,4,2025,aadhaar,0,1
TX110,RC101,1,1,Tirunelveli,Alangulam,Apr,wheat,2,6,12,4,2025,aadhaar,0,0
TX111,RC101,1,1,Tirunelveli,Alangulam,May,rice,3,9,27,5,2025,biometric,0,0
TX112,RC101,1,1,Tirunelveli,Alangulam,Jul,rice,3,15,45,7,2025,biometric,0,1
TX113,RC101,1,1,Tirunelveli,Alangulam,Jul,wheat,2,5,10,7,2025,biometric,0,0
TX114,RC101,1,1,Tirunelveli,Alangulam,Jul,sugar,18,3,54,7,2025,biometric,0,3
TX115,RC101,1,1,Tirunelveli,Alangulam,Aug,rice,3,16,48,8,2025,aadhaar,0,1
TX116,RC101,1,1,Tirunelveli,Alangulam,Aug,sugar,18,3,54,8,2025,aadhaar,0,1
TX117,RC101,1,1,Tirunelveli,Alangulam,Sep,rice,3,8,24,9,2025,biometric,0,0
TX118,RC101,1,1,Tirunelveli,Alangulam,Sep,sugar,18,2,36,9,2025,biometric,0,0
TX119,RC101,1,1,Tirunelveli,Alangulam,Oct,rice,3,13,39,10,2025,aadhaar,0,0
TX120,RC101,1,1,Tirunelveli,Alangulam,Oct,wheat,2,6,12,10,2025,aadhaar,0,0
TX121,RC101,1,1,Tirunelveli,Alangulam,Nov,rice,3,14,42,11,2025,aadhaar,0,3
TX122,RC101,1,1,Tirunelveli,Alangulam,Nov,wheat,2,4,8,11,2025,aadhaar,0,5
TX123,RC101,1,1,Tirunelveli,Alangulam,Dec,rice,3,10,30,12,2025,biometric,0,1
TX124,RC101,1,1,Tirunelveli,Alangulam,Dec,wheat,2,6,12,12,2025,biometric,0,1
TX125,RC101,1,1,Tirunelveli,Alangulam,Dec,sugar,18,3,54,12,2025,biometric,0,5
TX126,RC102,1,1,Tirunelveli,Alangulam,Jan,rice,3,8,24,1,2025,aadhaar,0,1
TX127,RC102,1,1,Tirunelveli,Alangulam,Jan,sugar,18,2,36,1,2025,aadhaar,0,2
TX128,RC102,1,1,Tirunelveli,Alangulam,Feb,rice,3,15,45,2,2025,biometric,0,0
TX129,RC102,1,1,Tirunelveli,Alangulam,Feb,wheat,2,5,10,2,2025,biometric,0,5
TX130,RC102,1,1,Tirunelveli,Alangulam,Feb,sugar,18,3,54,2,2025,biometric,0,3
TX131,RC102,1,1,Tirunelveli,Alangulam,Mar,rice,3,16,48,3,2025,biometric,0,1
TX132,RC102,1,1,Tirunelveli,Alangulam,Mar,sugar,18,3,54,3,2025,biometric,0,5
TX133,RC102,1,1,Tirunelveli,Alangulam,Apr,rice,3,15,45,4,2025,biometric,0,0
TX134,RC102,1,1,Tirunelveli,Alangulam,Apr,wheat,2,5,10,4,2025,biometric,0,0
TX135,RC102,1,1,Tirunelveli,Alangulam,May,rice,3,15,45,5,2025,biometric,0,2
TX136,RC102,1,1,Tirunelveli,Alangulam,May,wheat,2,7,14,5,2025,biometric,0,2
TX137,RC102,1,1,Tirunelveli,Alangulam,Jun,rice,3,16,48,6,2025,aadhaar,0,3
TX138,RC102,1,1,Tirunelveli,Alangulam,Jun,wheat,2,4,8,6,2025,aadhaar,0,3
TX139,RC102,1,1,Tirunelveli,Alangulam,Jun,sugar,18,3,54,6,2025,aadhaar,0,0
TX140,RC102,1,1,Tirunelveli,Alangulam,Jul,rice,3,16,48,7,2025,biometric,0,0
TX141,RC102,1,1,Tirunelveli,Alangulam,Sep,rice,3,9,27,9,2025,aadhaar,0,1
TX142,RC102,1,1,Tirunelveli,Alangulam,Nov,rice,3,15,45,11,2025,aadhaar,0,0
TX143,RC102,1,1,Tirunelveli,Alangulam,Nov,sugar,18,3,54,11,2025,aadhaar,0,1
TX144,RC102,1,1,Tirunelveli,Alangulam,Dec,rice,3,11,33,12,2025,aadhaar,0,0
TX145,RC102,1,1,Tirunelveli,Alangulam,Dec,wheat,2,5,10,12,2025,aadhaar,0,0
TX146,RC102,1,1,Tirunelveli,Alangulam,Dec,sugar,18,3,54,12,2025,aadhaar,0,0
TX147,RC103,1,1,Tirunelveli,Alangulam,Jan,rice,3,13,39,1,2025,biometric,0,2
