village_id,village_name,district,block,block_panchayat,longitude,latitude,total_hh,avg_hh_size,perc_rural,ratio_female,nearest_town_km,has_fps,has_bus_service,has_road_connectivity
1,Alangulam,Tirunelveli,Alangulam,Alangulam,78.50,8.75,1250,4.8,0.95,0.49,12,1,1,1
2,Seruvayur,Tuticorin,Alangulam,Alangulam,78.45,8.80,1100,4.5,0.96,0.50,14,1,1,1
3,Iluppaiyurani,Tirunelveli,Palayamkottai,Palayamkottai,77.95,8.75,1300,4.7,0.94,0.48,10,1,1,1
4,Manakudi,Tirunelveli,Palayamkottai,Palayamkottai,77.90,8.80,950,4.6,0.95,0.49,11,1,1,1
5,Vellanad,Tirunelveli,Palayamkottai,Palayamkottai,78.05,8.80,1400,4.8,0.94,0.48,9,1,1,1
6,Cheranmaadai,Tirunelveli,Nanguneri,Nanguneri,77.65,8.40,1050,4.6,0.95,0.49,13,1,1,1
7,Soundrapandiankudieruppu,Tirunelveli,Nanguneri,Nanguneri,77.70,8.45,1150,4.7,0.94,0.48,12,1,1,1
8,Meenakshipuram,Tirunelveli,Nanguneri,Nanguneri,77.60,8.50,900,4.5,0.96,0.50,14,1,1,1
9,Tenkasi,Tenkasi,Tenkasi,Tenkasi,77.40,8.75,1600,4.9,0.93,0.47,8,1,1,1
10,Keelapavoor,Tenkasi,Tenkasi,Tenkasi,77.35,8.80,1100,4.6,0.94,0.48,11,1,1,1
11,Vandithavalam,Tenkasi,Tenkasi,Tenkasi,77.45,8.85,1000,4.5,0.95,0.49,12,1,1,1
12,Huligal,Tenkasi,Tenkasi,Tenkasi,77.55,8.90,950,4.4,0.96,0.50,13,1,1,1
13,Madhurantakam,Chengalpattu,Madhurantakam,Madhurantakam,79.85,12.70,1300,4.8,0.94,0.48,10,1,1,1
14,Padalam,Chengalpattu,Madhurantakam,Madhurantakam,79.90,12.65,1150,4.6,0.95,0.49,11,1,1,1
15,Perugalathur,Chengalpattu,Madhurantakam,Madhurantakam,79.80,12.75,1200,4.7,0.94,0.48,9,1,1,1
16,Kaveripattinam,Kanniyakumari,Kalkulam,Kalkulam,77.15,8.20,1050,4.5,0.95,0.49,12,1,1,1
17,Thirparappu,Kanniyakumari,Kalkulam,Kalkulam,77.10,8.25,1100,4.6,0.94,0.48,11,1,1,1
18,Ulakkai,Kanniyakumari,Kalkulam,Kalkulam,77.20,8.30,950,4.4,0.96,0.50,13,1,1,1
19,Aruppukkottai,Virudhunagar,Aruppukkottai,Aruppukkottai,77.85,9.55,1500,4.9,0.92,0.46,8,1,1,1
20,Sivakasi,Virudhunagar,Aruppukkottai,Aruppukottai,77.80,9.60,1350,4.7,0.93,0.47,9,1,1,1
21,Kariyapatti,Virudhunagar,Aruppukkottai,Aruppukottai,77.75,9.65,1250,4.6,0.94,0.48,10,1,1,1
22,Usilampatti,Theni,Usilampatti,Usilampatti,77.55,9.75,1100,4.5,0.95,0.49,11,1,1,1
23,Bodinayakkanur,Theni,Usilampatti,Usilampatti,77.50,9.80,1000,4.4,0.96,0.50,12,1,1,1
24,Uthamapalayam,Theni,Usilampatti,Usilampatti,77.45,9.85,950,4.3,0.97,0.51,13,1,1,1
25,Mettupalayam,Coimbatore,Mettupalayam,Mettupalayam,77.05,11.20,1400,4.8,0.93,0.47,10,1,1,1
26,Thondamanpatti,Coimbatore,Mettupalayam,Mettupalayam,77.00,11.25,1150,4.6,0.94,0.48,11,1,1,1
27,Eachanari,Coimbatore,Manjakkudi,Manjakkudi,77.10,11.30,1200,4.7,0.93,0.47,9,1,1,1
28,Dharmapuri,Dharmapuri,Dharmapuri,Dharmapuri,77.95,12.15,1300,4.8,0.92,0.46,8,1,1,1
29,Kadathur,Dharmapuri,Dharmapuri,Dharmapuri,78.00,12.20,1050,4.5,0.94,0.48,11,1,1,1
30,Nallampatti,Dharmapuri,Dharmapuri,Dharmapuri,78.05,12.25,950,4.4,0.96,0.50,12,1,1,1
31,Sivaganga,Sivagangai,Sivagangai,Sivagangai,78.50,9.05,1450,4.9,0.91,0.45,8,1,1,1
32,Manamadurai,Sivagangai,Sivagangai,Sivagangai,78.45,9.10,1300,4.7,0.92,0.46,9,1,1,1
33,Tiruppattur,Sivagangai,Sivagangai,Sivagangai,78.40,9.15,1150,4.6,0.93,0.47,10,1,1,1
34,Kunnumbikulam,Thanjavur,Thanjavur,Thanjavur,79.15,10.75,1000,4.5,0.95,0.49,11,1,1,1
35,Uthukkottai,Thanjavur,Thanjavur,Thanjavur,79.20,10.80,950,4.4,0.96,0.50,12,1,1,1
36,Kallanai,Thanjavur,Thanjavur,Thanjavur,79.10,10.85,1100,4.6,0.94,0.48,10,1,1,1
